jugador,season,Posicion,total_intentos,partidos_jugados,intentos_aro,intentos_cerca,intentos_media_distancia,intentos_triple,intentos_tiro_libre,acierto_aro,acierto_cerca,acierto_media_distancia,acierto_triple,acierto_tiro_libre,proporcion_aro,proporcion_cerca,proporcion_media_distancia,proporcion_triple,proporcion_tiro_libre,porcentaje_acierto_global,altura,edad,peso
Aaron Holiday,2021,G,533,66,95,110,74,169,85,0.47368421052631576,0.33636363636363636,0.43243243243243246,0.34911242603550297,0.8235294117647058,0.17823639774859287,0.20637898686679174,0.13883677298311445,0.3170731707317073,0.15947467166979362,0.45590994371482174,1.83,24,185
Aaron Holiday,2022,G,421,66,45,120,86,101,69,0.6,0.5,0.38372093023255816,0.38613861386138615,0.855072463768116,0.10688836104513064,0.2850356294536817,0.2042755344418052,0.23990498812351543,0.16389548693586697,0.517814726840855,1.83,25,185
Aaron Holiday,2023,G,252,54,40,46,57,77,32,0.7,0.21739130434782608,0.3684210526315789,0.42857142857142855,0.84375,0.15873015873015872,0.18253968253968253,0.2261904761904762,0.3055555555555556,0.12698412698412698,0.4722222222222222,1.83,26,185
Aaron Holiday,2024,G,480,76,45,73,100,199,63,0.6222222222222222,0.4520547945205479,0.46,0.3969849246231156,0.9206349206349206,0.09375,0.15208333333333332,0.20833333333333334,0.41458333333333336,0.13125,0.5083333333333333,1.83,27,185
Aaron Nesmith,2021,G-F,230,49,28,34,15,123,30,0.5714285714285714,0.5,0.4666666666666667,0.35772357723577236,0.8,0.12173913043478261,0.14782608695652175,0.06521739130434782,0.5347826086956522,0.13043478260869565,0.46956521739130436,1.96,21,215
Aaron Nesmith,2022,G-F,229,57,21,34,20,124,30,0.8571428571428571,0.5,0.5,0.25,0.8,0.09170305676855896,0.14847161572052403,0.08733624454148471,0.5414847161572053,0.13100436681222707,0.4366812227074236,1.96,22,215
Aaron Nesmith,2023,G-F,731,73,126,98,68,297,142,0.6587301587301587,0.3163265306122449,0.47058823529411764,0.3569023569023569,0.8380281690140845,0.17236662106703146,0.13406292749658003,0.09302325581395349,0.4062927496580027,0.19425444596443228,0.5075239398084815,1.96,23,215
Aaron Nesmith,2024,G-F,965,90,171,142,73,400,179,0.7017543859649122,0.47183098591549294,0.4383561643835616,0.4025,0.8100558659217877,0.1772020725388601,0.14715025906735751,0.07564766839378238,0.41450777202072536,0.18549222797927462,0.5440414507772021,1.96,24,215
Aaron Wiggins,2022,G,422,48,70,121,10,136,85,0.7142857142857143,0.49586776859504134,0.4,0.3088235294117647,0.7294117647058823,0.16587677725118483,0.28672985781990523,0.023696682464454975,0.3222748815165877,0.2014218009478673,0.5165876777251185,1.96,23,190
Aaron Wiggins,2023,G,444,69,127,112,15,116,74,0.7480314960629921,0.39285714285714285,0.5333333333333333,0.3706896551724138,0.8378378378378378,0.28603603603603606,0.25225225225225223,0.033783783783783786,0.26126126126126126,0.16666666666666666,0.5675675675675675,1.96,24,190
