"temporada","equipo","fase_alcanzada","año_temporada","tiros_campo_anotados","tiros_campo_intentados","triples_anotados","triples_intentados","tiros_libres_anotados","tiros_libres_intentados","rebotes_ofensivos","rebotes_defensivos","rebotes_totales","asistencias","perdidas_balon","robos","bloqueos","faltas_personales","puntos","victorias","acierto_tiros_campo","acierto_triples","acierto_tiros_libres","conferencia"
"2023-24","Boston Celtics",4,"2023-24",43.9146341463415,90.1951219512195,16.4756097560976,42.4634146341463,16.2682926829268,20.1707317073171,10.6829268292683,35.6463414634146,46.3292682926829,26.9146341463415,11.9390243902439,6.79268292682927,6.5609756097561,16.1707317073171,120.573170731707,64,0.486884802595998,0.38799540493969,0.806529625151148,"Este"
"2023-24","Cleveland Cavaliers",1,"2023-24",41.7682926829268,87.1707317073171,13.5121951219512,36.780487804878,15.5853658536585,20.3780487804878,9.85365853658537,33.4390243902439,43.2926829268293,28.0365853658537,13.5609756097561,7.3780487804878,4.63414634146341,17.5121951219512,112.634146341463,48,0.479155008393956,0.36737400530504,0.764811490125673,"Este"
"2023-24","Dallas Mavericks",3,"2023-24",43.109756097561,89.6585365853659,14.5975609756098,39.5365853658537,17.0365853658537,22.4634146341463,9.71951219512195,33.219512195122,42.9390243902439,25.6829268292683,12.5243902439024,6.86585365853659,4.95121951219512,18.2926829268293,117.853658536585,50,0.48082154515778,0.369216533004318,0.758414766558089,"Oeste"
"2023-24","Denver Nuggets",1,"2023-24",44.0243902439024,88.7682926829268,11.6829268292683,31.219512195122,15.1219512195122,19.8536585365854,10.7439024390244,33.6829268292683,44.4268292682927,29.4512195121951,12.6341463414634,7.13414634146341,5.5609756097561,18.1585365853659,114.853658536585,57,0.495947245500756,0.37421875,0.761670761670762,"Oeste"
"2023-24","Indiana Pacers",2,"2023-24",47.0121951219512,92.6707317073171,13.1951219512195,35.2560975609756,16.0731707317073,20.5487804878049,10.0853658536585,31.4390243902439,41.5243902439024,30.7560975609756,12.9146341463415,7.69512195121951,5.86585365853659,21.4146341463415,123.292682926829,47,0.507303592577971,0.374264960221377,0.782195845697329,"Este"
"2023-24","LA Clippers",0,"2023-24",42.3536585365854,86.6829268292683,12.6341463414634,33.1585365853659,18.280487804878,22.1585365853659,10.0243902439024,32.9390243902439,42.9634146341463,25.5731707317073,13.1463414634146,7.80487804878049,5.03658536585366,18.5243902439024,115.621951219512,51,0.488604389420371,0.381022434718647,0.824986241056687,"Oeste"
"2023-24","Los Angeles Lakers",0,"2023-24",43.6585365853659,87.5243902439024,11.8170731707317,31.3658536585366,18.9024390243902,24.1829268292683,8.24390243902439,34.8658536585366,43.109756097561,28.5243902439024,13.9756097560976,7.3780487804878,5.52439024390244,15.6463414634146,118.036585365854,47,0.498815661139752,0.376749611197512,0.781643973777105,"Oeste"
"2023-24","Miami Heat",0,"2023-24",39.8292682926829,85.6341463414634,12.4634146341463,33.719512195122,18.0243902439024,22.0243902439024,9.34146341463415,32.9512195121951,42.2926829268293,25.8048780487805,12.6585365853659,7.52439024390244,3.41463414634146,17.2560975609756,110.146341463415,46,0.465109655368841,0.369620253164557,0.818383167220377,"Este"
"2023-24","Milwaukee Bucks",0,"2023-24",43.1463414634146,88.5121951219512,14.1829268292683,38.0731707317073,18.5,23.9024390243902,9.41463414634146,34.7560975609756,44.1707317073171,26.5365853658537,12.9146341463415,6.80487804878049,5.03658536585366,19.1951219512195,118.975609756098,49,0.487462110774318,0.372517616912236,0.773979591836735,"Este"
"2023-24","Minnesota Timberwolves",2,"2023-24",41.2560975609756,85.0487804878049,12.6463414634146,32.6951219512195,17.8170731707317,22.9390243902439,9.39024390243902,34.2317073170732,43.6219512195122,26.6341463414634,14.1707317073171,7.89024390243902,6.0609756097561,18.8292682926829,112.975609756098,56,0.48508746773731,0.386795971652369,0.776714513556619,"Oeste"
