"temporada","equipo","fase_alcanzada","año_temporada","tiros_campo_anotados","tiros_campo_intentados","triples_anotados","triples_intentados","tiros_libres_anotados","tiros_libres_intentados","rebotes_ofensivos","rebotes_defensivos","rebotes_totales","asistencias","perdidas_balon","robos","bloqueos","faltas_personales","puntos","victorias","acierto_tiros_campo","acierto_triples","acierto_tiros_libres","conferencia"
"2010-11","Atlanta Hawks",1,"2010-11",36.2317073170732,78.4024390243902,6.1219512195122,17.4024390243902,16.4146341463415,21.0731707317073,9.29268292682927,30,39.2926829268293,21.9756097560976,13.6341463414634,6.0609756097561,4.15853658536585,18.9512195121951,95,44,0.462124747239073,0.351786965662228,0.778935185185185,"Este"
"2010-11","Boston Celtics",1,"2010-11",36.8658536585366,75.8414634146341,4.97560975609756,13.6463414634146,17.7926829268293,23.109756097561,7.79268292682927,31,38.7926829268293,23.4268292682927,14.5731707317073,8.24390243902439,4.19512195121951,20.4634146341463,96.5,56,0.486091011416626,0.364611260053619,0.769920844327177,"Este"
"2010-11","Chicago Bulls",2,"2010-11",37.0975609756098,80.3292682926829,6.23170731707317,17.2560975609756,18.1951219512195,24.4878048780488,11.7926829268293,32.3658536585366,44.1585365853659,22.280487804878,14.1585365853659,7.21951219512195,5.70731707317073,19.9878048780488,98.6219512195122,62,0.461818733869743,0.36113074204947,0.743027888446215,"Este"
"2010-11","Dallas Mavericks",4,"2010-11",37.4268292682927,78.8170731707317,7.86585365853659,21.5609756097561,17.5243902439024,22.5609756097561,9.51219512195122,31.9268292682927,41.4390243902439,23.8292682926829,13.9634146341463,6.79268292682927,4.29268292682927,19.2073170731707,100.243902439024,57,0.474856877611017,0.364819004524887,0.776756756756757,"Oeste"
"2010-11","Denver Nuggets",0,"2010-11",38.3536585365854,80.6463414634146,8.07317073170732,20.780487804878,22.6707317073171,29.6219512195122,9.64634146341463,32.3414634146341,41.9878048780488,22.109756097561,14.109756097561,7.3780487804878,4.29268292682927,20.9634146341463,107.451219512195,50,0.475578406169666,0.38849765258216,0.76533552902429,"Oeste"
"2010-11","Indiana Pacers",0,"2010-11",36.6219512195122,82.7682926829268,7.13414634146341,20.1585365853659,19.4146341463415,24.8170731707317,11.1463414634146,32.4024390243902,43.5487804878049,19.6463414634146,15.390243902439,7.1219512195122,5.5609756097561,21.7317073170732,99.7926829268293,37,0.442463533225284,0.353901996370236,0.782309582309582,"Este"
"2010-11","Los Angeles Lakers",1,"2010-11",38.1463414634146,82.4024390243902,6.39024390243902,18.1341463414634,18.7926829268293,24.1341463414634,12.0609756097561,31.9024390243902,43.9634146341463,21.9634146341463,13.0853658536585,7.34146341463415,5.14634146341463,18.9634146341463,101.475609756098,57,0.462927334615954,0.352387357094822,0.778676099039919,"Oeste"
"2010-11","Memphis Grizzlies",1,"2010-11",39.0243902439024,82.9390243902439,3.76829268292683,11.2926829268293,18.1219512195122,24.1585365853659,11.8292682926829,29.1585365853659,40.9878048780488,20.6219512195122,13.9634146341463,9.40243902439024,5.3780487804878,20.7926829268293,99.9390243902439,46,0.470519041317453,0.333693304535637,0.75012619888945,"Oeste"
"2010-11","Miami Heat",3,"2010-11",36.9634146341463,76.8414634146341,6.67073170731707,18.0365853658537,21.4634146341463,27.9024390243902,9.63414634146342,32.5121951219512,42.1463414634146,19.9878048780488,13.9268292682927,6.63414634146341,5.24390243902439,20.4146341463415,102.060975609756,58,0.481034756387875,0.369844489519946,0.769230769230769,"Este"
"2010-11","New Orleans Hornets",0,"2010-11",35.9024390243902,78.2439024390244,5.41463414634146,15.0243902439024,17.7073170731707,23.1341463414634,10.0487804878049,30.0975609756098,40.1463414634146,20.6219512195122,13.0365853658537,7.60975609756098,4.3780487804878,20.9634146341463,94.9268292682927,46,0.458852867830424,0.36038961038961,0.765419082762256,"Oeste"
